class,pixel_auc,object_auc
ashtray0,0.9218458730960621,1.0
bag0,0.9388999079460693,0.980952380952381
bottle0,0.9496217055310339,1.0
bottle1,0.9336039342382227,1.0
bottle3,0.9397082336368436,1.0
bowl0,0.9680143724369973,1.0
bowl1,0.9055837068614379,0.9851851851851852
bowl2,0.8162675393786828,1.0
bowl3,0.9330085419497504,1.0
bowl4,0.9173470065027289,0.9925925925925926
bowl5,0.9053123722714241,0.8912280701754386
bucket0,0.8700274694745895,0.9650793650793651
bucket1,0.9072153141227137,0.8571428571428571
cap0,0.9470135274525358,0.8814814814814815
cap3,0.8469283758563578,0.5508771929824561
cap4,0.8638029838226254,0.6280701754385964
cap5,0.8990155210429013,0.7964912280701755
cup0,0.9496129919772336,0.8761904761904762
cup1,0.8844249012797549,0.8428571428571429
eraser0,0.928918629411183,0.8333333333333334
headset0,0.8576437791303819,1.0
headset1,0.8360915186076543,0.861904761904762
helmet0,0.8190697516499035,0.855072463768116
helmet1,0.6227453698428423,0.9571428571428571
helmet2,0.834360373670316,0.7768115942028986
helmet3,0.9481828660132025,0.8606060606060605
jar0,0.9484816493064278,1.0
microphone0,0.9077728903863381,0.7809523809523811
shelf0,0.8593566516706261,0.7913043478260869
tap0,0.8908414318608873,0.8515151515151516
tap1,0.90339414590462,0.7666666666666666
vase0,0.950878992118096,1.0
vase1,0.8296442162728467,0.9523809523809523
vase2,0.9508597263888691,1.0
vase3,0.8921824263615534,0.8090909090909091
vase4,0.8980472365712855,0.9030303030303031
vase5,0.9206691001220405,1.0
vase7,0.9460340024591466,1.0
vase8,0.9337126146326016,0.9060606060606061
vase9,0.8642195764996629,0.8545454545454545
