class_name,sample_id,sample_path,label,point_count,object_score,topk_score,score_mean,score_p95,score_max,gt_point_count,gt_point_ratio,gt_score_mean,background_score_mean,point_score_path
ashtray0,ashtray0_positive2,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_positive2.pcd,0,16384,0.003531,0.003531,0.000377,0.001015,0.003531,0,0.0,,0.000377,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_positive2.npz
ashtray0,ashtray0_bulge5,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_bulge5.pcd,1,16384,0.072544,0.072544,0.001949,0.003048,0.072544,964,0.058838,0.021682,0.000715,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_bulge5.npz
ashtray0,ashtray0_concavity5,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_concavity5.pcd,1,16384,0.052866,0.052866,0.001515,0.004541,0.052866,614,0.037476,0.020579,0.000773,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_concavity5.npz
ashtray0,ashtray0_bulge2,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_bulge2.pcd,1,16384,0.038277,0.038277,0.002978,0.00561,0.038277,1603,0.097839,0.008662,0.002361,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_bulge2.npz
ashtray0,ashtray0_bulge1,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_bulge1.pcd,1,16384,0.064752,0.064752,0.002316,0.008649,0.064752,1322,0.080688,0.019681,0.000791,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_bulge1.npz
ashtray0,ashtray0_positive12,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_positive12.pcd,0,16384,0.004087,0.004087,0.000706,0.001723,0.004087,0,0.0,,0.000706,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_positive12.npz
ashtray0,ashtray0_positive11,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_positive11.pcd,0,16384,0.004815,0.004815,0.000753,0.00183,0.004815,0,0.0,,0.000753,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_positive11.npz
ashtray0,ashtray0_positive6,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_positive6.pcd,0,16384,0.005393,0.005393,0.000745,0.001857,0.005393,0,0.0,,0.000745,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_positive6.npz
ashtray0,ashtray0_positive9,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_positive9.pcd,0,16384,0.004172,0.004172,0.00068,0.001648,0.004172,0,0.0,,0.00068,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_positive9.npz
ashtray0,ashtray0_bulge3,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_bulge3.pcd,1,16384,0.056675,0.056675,0.002278,0.011614,0.056675,2196,0.134033,0.011929,0.000784,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_bulge3.npz
ashtray0,ashtray0_positive0,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_positive0.pcd,0,16384,0.004057,0.004057,0.000602,0.001514,0.004057,0,0.0,,0.000602,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_positive0.npz
ashtray0,ashtray0_bulge6,/workspace/code_folder/area1/Anomaly/data/Anomaly-ShapeNet-v2/dataset/16384/ashtray0/test/ashtray0_bulge6.pcd,1,16384,0.054483,0.054483,0.001857,0.003901,0.054483,1096,0.066895,0.016006,0.000843,experiments/P5_pasdf_scores/full_40cls/ashtray0/points/ashtray0_bulge6.npz
